Type(类型)	Name（视图名/表名）	Description（描述）
View	        DBA_CUBE_CALCULATED_MEMBER	
View	        DBA_CUBE_DIMENSIONALITY	
View	        DBA_CUBE_DIMENSIONS	
View	        DBA_CUBE_DIM_LEVELS	
View	        DBA_CUBE_DIM_MODELS	
View	        DBA_CUBE_DIM_VIEWS	
View	        DBA_CUBE_DIM_VIEW_COLUMNS	
View	        DBA_CUBE_HIERARCHIES	
View	        DBA_CUBE_HIER_LEVELS	
View	        DBA_CUBE_HIER_VIEWS	
View	        DBA_CUBE_HIER_VIEW_COLUMNS	
View	        DBA_CUBE_MEASURES	
View	        DBA_CUBE_VIEWS	
View	        DBA_CUBE_VIEW_COLUMNS	
View	        DBA_DATAPUMP_JOBS	
View	        DBA_DATAPUMP_SESSIONS	
View	        DBA_DATA_FILES	
View	        DBA_DBFS_HS	
View	        DBA_DBFS_HS_COMMANDS	
View	        DBA_DBFS_HS_FIXED_PROPERTI	
View	        DBA_DBFS_HS_PROPERTIES	
View	        DBA_DB_LINKS	
View	        DBA_DDL_LOCKS	
View	        DBA_DEPENDENCIES	
View	        DBA_DIMENSIONS	
View	        DBA_DIM_ATTRIBUTES	
View	        DBA_DIM_CHILD_OF	
View	        DBA_DIM_HIERARCHIES	
View	        DBA_DIM_JOIN_KEY	
View	        DBA_DIM_LEVELS	
View	        DBA_DIM_LEVEL_KEY	
View	        DBA_DIRECTORIES	
View	        DBA_DML_LOCKS	
View	        DBA_DMT_FREE_SPACE	
View	        DBA_DMT_USED_EXTENTS	
View	        DBA_EDITIONING_VIEWS	
View	        DBA_EDITIONING_VIEWS_AE	
View	        DBA_EDITIONING_VIEW_COLS	
View	        DBA_EDITIONING_VIEW_COLS_A	
View	        DBA_EDITIONS	
View	        DBA_EDITION_COMMENTS	
View	        DBA_ENABLED_AGGREGATIONS	
View	        DBA_ENABLED_TRACES	
View	        DBA_ERRORS	
View	        DBA_EXP_VERSION	
View	        DBA_EXTENTS	
View	        DBA_EXTERNAL_LOCATIONS	
View	        DBA_EXTERNAL_TABLES	
View	        DBA_FEATURE_USAGE_STATISTI	
View	        DBA_FGA_AUDIT_TRAIL	
View	        DBA_FILE_GROUPS	
View	        DBA_FILE_GROUP_EXPORT_INFO	
View	        DBA_FILE_GROUP_FILES	
View	        DBA_FILE_GROUP_TABLES	
View	        DBA_FILE_GROUP_TABLESPACES	
View	        DBA_FILE_GROUP_VERSIONS	
View	        DBA_FLASHBACK_ARCHIVE	
View	        DBA_FLASHBACK_ARCHIVE_TABL	
View	        DBA_FLASHBACK_ARCHIVE_TS	
View	        DBA_FLASHBACK_TXN_REPORT	
View	        DBA_FLASHBACK_TXN_STATE	
View	        DBA_FREE_SPACE	
View	        DBA_FREE_SPACE_COALESCED	
View	        DBA_FREE_SPACE_COALESCED_T	
View	        DBA_FREE_SPACE_COALESCED_T(1)	
View	        DBA_FREE_SPACE_COALESCED_T(2)	
View	        USER_ADDM_FDG_BREAKDOWN	
View	        USER_ADDM_FINDINGS	
View	        USER_ADDM_INSTANCES	
View	        USER_ADDM_TASKS	
View	        USER_ADDM_TASK_DIRECTIVES	
View	        USER_ADVISOR_ACTIONS	
View	        USER_ADVISOR_DIR_TASK_INST	
View	        USER_ADVISOR_EXECUTIONS	
View	        USER_ADVISOR_EXEC_PARAMETE	
View	        USER_ADVISOR_FDG_BREAKDOWN	
View	        USER_ADVISOR_FINDINGS	
View	        USER_ADVISOR_JOURNAL	
View	        USER_ADVISOR_LOG	
View	        USER_ADVISOR_OBJECTS	
View	        USER_ADVISOR_PARAMETERS	
View	        USER_ADVISOR_RATIONALE	
View	        USER_ADVISOR_RECOMMENDATIO	
View	        USER_ADVISOR_SQLA_COLVOL	
View	        USER_ADVISOR_SQLA_REC_SUM	
View	        USER_ADVISOR_SQLA_TABLES	
View	        USER_ADVISOR_SQLA_TABVOL	
View	        USER_ADVISOR_SQLA_WK_MAP	
View	        USER_ADVISOR_SQLA_WK_STMTS	
View	        USER_ADVISOR_SQLA_WK_SUM	
View	        USER_ADVISOR_SQLPLANS	
View	        USER_ADVISOR_SQLSTATS	
View	        USER_ADVISOR_SQLW_COLVOL	
View	        USER_ADVISOR_SQLW_JOURNAL	
View	        USER_ADVISOR_SQLW_PARAMETE	
View	        USER_ADVISOR_SQLW_STMTS	
View	        USER_ADVISOR_SQLW_SUM	
View	        USER_ADVISOR_SQLW_TABLES	
View	        USER_ADVISOR_SQLW_TABVOL	
View	        USER_ADVISOR_SQLW_TEMPLATE	
View	        USER_ADVISOR_TASKS	
View	        USER_ADVISOR_TEMPLATES	
View	        USER_ALL_TABLES	
View	        USER_APPLICATION_ROLES	
View	        USER_AQ_AGENT_PRIVS	
View	        USER_ARGUMENTS	
View	        USER_ASSEMBLIES	
View	        USER_ASSOCIATIONS	
View	        USER_ATTRIBUTE_TRANSFORMAT	
View	        USER_AUDIT_OBJECT	
View	        USER_AUDIT_POLICIES	
View	        USER_AUDIT_POLICY_COLUMNS	
View	        USER_AUDIT_SESSION	
View	        USER_AUDIT_STATEMENT	
View	        USER_AUDIT_TRAIL	
View	        USER_AWS	
View	        USER_AW_OBJ	
View	        USER_AW_PROP	
View	        USER_AW_PS	
View	        USER_BASE_TABLE_MVIEWS	
View	        USER_CATALOG	
View	        USER_CHANGE_NOTIFICATION_R	
View	        USER_CLUSTERS	
View	        USER_CLUSTER_HASH_EXPRESSI	
View	        USER_CLU_COLUMNS	
View	        USER_COLL_TYPES	
View	        USER_COL_COMMENTS	
